#
# Mutations (Assumes Humanoid)
# Roll d10 and see if the result is equal or less than Willpower Bonus.  If it is, let them pick a Primary Mutation Group, instead of Rolling Randomly.


:Start
1,<b><u>Mutations</u></b>{CR~}{Loop~{Dice~1d5},[Basic Primary Mutation Groups]{CR~}}{Loop~{Dice~1d5},[Defects]{CR~}}

:Basic Primary Mutation Groups
1-12,<b><i>Clairsentient Mutation: </i></b>[Clairsentient Mutations]
387,Pellagrophobia- Fear of pellagra.
388,Peniaphobia- Fear of poverty.
389,Pentheraphobia- Fear of mother-in-law. (Novercaphobia)
390,Phagophobia- Fear of swallowing or of eating or of being eaten.
391,Phalacrophobia- Fear of becoming bald.
392,Phallophobia- Fear of a penis, esp erect.
393,Pharmacophobia- Fear of taking medicine.
394,Phasmophobia- Fear of ghosts.
395,Phengophobia- Fear of daylight or sunshine.
396,Philemaphobia or Philematophobia- Fear of kissing.
397,Philophobia- Fear of falling in love or being in love.
398,Philosophobia- Fear of philosophy.
399,Phobophobia- Fear of phobias.
400,Photoaugliaphobia- Fear of glaring lights.
401,Photophobia- Fear of light.
402,Phonophobia- Fear of noises or voices or one's own voice; of telephones.
403,Phronemophobia- Fear of thinking.
404,Phthiriophobia- Fear of lice. (Pediculophobia)
405,Phthisiophobia- Fear of tuberculosis.
406,Placophobia- Fear of tombstones.
407,Plutophobia- Fear of wealth.
408,Pluviophobia- Fear of rain or of being rained on.
409,Pneumatiphobia- Fear of spirits.
410,Pnigophobia or Pnigerophobia- Fear of choking of being smothered.
411,Pocrescophobia- Fear of gaining weight. (Obesophobia)
412,Pogonophobia- Fear of beards.
413,Poliosophobia- Fear of contracting poliomyelitis.
414,Politicophobia- Fear or abnormal dislike of politicians.
415,Polyphobia- Fear of many things.
416,Poinephobia- Fear of punishment.
417,Ponophobia- Fear of overworking or of pain.
418,Porphyrophobia- Fear of the color purple.
419,Potamophobia- Fear of rivers or running water.
420,Potophobia- Fear of alcohol.
421,Pharmacophobia- Fear of drugs.
422,Proctophobia- Fear of rectums.
423,Prosophobia- Fear of progress.
424,Psellismophobia- Fear of stuttering.
425,Psychophobia- Fear of mind.
426,Psychrophobia- Fear of cold.
427,Pteromerhanophobia- Fear of flying.
428,Pteronophobia- Fear of being tickled by feathers.
429,Pupaphobia - Fear of puppets.
430,Pyrexiophobia- Fear of Fever.
431,Pyrophobia- Fear of fire.
432,Radiophobia- Fear of radiation, x-rays.
433,Ranidaphobia- Fear of frogs.
434,Rectophobia- Fear of rectum or rectal diseases.
435,Rhabdophobia- Fear of being severely punished or beaten by a rod, or of being severely criticized. Also fear of magic.(wand)
436,Rhypophobia- Fear of defecation.
437,Rhytiphobia- Fear of getting wrinkles.
438,Rupophobia- Fear of dirt.
439,Russophobia- Fear of Russians.
440,Samhainophobia: Fear of Halloween.
441,Sarmassophobia- Fear of love play. (Malaxophobia)
442,Satanophobia- Fear of Satan.
443,Scabiophobia- Fear of scabies.
444,Scatophobia- Fear of fecal matter.
445,Scelerophibia- Fear of bad men, burglars.
446,Sciophobia Sciaphobia- Fear of shadows.
447,Scoleciphobia- Fear of worms.
448,Scolionophobia- Fear of school.
449,Scopophobia or Scoptophobia- Fear of being seen or stared at.
450,Scotomaphobia- Fear of blindness in visual field.
451,Scotophobia- Fear of darkness. (Achluophobia)
452,Scriptophobia- Fear of writing in public.
453,Selachophobia- Fear of sharks.
454,Selaphobia- Fear of light flashes.
455,Selenophobia- Fear of the moon.
456,Seplophobia- Fear of decaying matter.
457,Sesquipedalophobia- Fear of long words.
458,Sexophobia- Fear of the opposite sex. (Heterophobia)
459,Siderodromophobia- Fear of trains, railroads or train travel.
460,Siderophobia- Fear of stars.
461,Sinistrophobia- Fear of things to the left or left-handed.
462,Sinophobia- Fear of Chinese, Chinese culture.
463,Sitophobia or Sitiophobia- Fear of food or eating. (Cibophobia)
464,Snakephobia- Fear of snakes. (Ophidiophobia)
465,Soceraphobia- Fear of parents-in-law.
466,Social Phobia- Fear of being evaluated negatively in social situations.
467,Sociophobia- Fear of society or people in general.
468,Somniphobia- Fear of sleep.
469,Sophophobia- Fear of learning.
470,Soteriophobia - Fear of dependence on others.
471,Spacephobia- Fear of outer space.
472,Spectrophobia- Fear of specters or ghosts.
473,Spermatophobia or Spermophobia- Fear of germs.
474,Spheksophobia- Fear of wasps.
475,Stasibasiphobia or Stasiphobia- Fear of standing or walking. (Ambulophobia)
476,Staurophobia- Fear of crosses or the crucifix.
477,Stenophobia- Fear of narrow things or places.
478,Stygiophobia or Stigiophobia- Fear of hell.
479,Suriphobia- Fear of mice.
480,Symbolophobia- Fear of symbolism.
481,Symmetrophobia- Fear of symmetry.
482,Syngenesophobia- Fear of relatives.
483,Syphilophobia- Fear of syphilis.
484,Tachophobia- Fear of speed.
485,Taeniophobia or Teniophobia- Fear of tapeworms.
486,Taphephobia Taphophobia- Fear of being buried alive or of cemeteries.
487,Tapinophobia- Fear of being contagious.
488,Taurophobia- Fear of bulls.
489,Technophobia- Fear of technology.
490,Teleophobia- 1) Fear of definite plans. 2) Religious ceremony.
491,Telephonophobia- Fear of telephones.
492,Teratophobia- Fear of bearing a deformed child or fear of monsters or deformed people.
493,Testophobia- Fear of taking tests.
494,Tetanophobia- Fear of lockjaw, tetanus.
495,Teutophobia- Fear of German or German things.
496,Textophobia- Fear of certain fabrics.
497,Thaasophobia- Fear of sitting.
498,Thalassophobia- Fear of the sea.
499,Thanatophobia or Thantophobia- Fear of death or dying.
500,Theatrophobia- Fear of theatres.
501,Theologicophobia- Fear of theology.
502,Theophobia- Fear of gods or religion.
503,Thermophobia- Fear of heat.
504,Tocophobia- Fear of pregnancy or childbirth.
505,Tomophobia- Fear of surgical operations.
506,Tonitrophobia- Fear of thunder.
507,Topophobia- Fear of certain places or situations, such as stage fright.
508,Toxiphobia or Toxophobia or Toxicophobia- Fear of poison or of being accidently poisoned.
509,Traumatophobia- Fear of injury.
510,Tremophobia- Fear of trembling.
511,Trichinophobia- Fear of trichinosis.
512,Trichopathophobia or Trichophobia- Fear of hair. (Chaetophobia, Hypertrichophobia)
513,Triskaidekaphobia- Fear of the number 13.
514,Tropophobia- Fear of moving or making changes.
515,Trypanophobia- Fear of injections.
516,Tuberculophobia- Fear of tuberculosis.
517,Tyrannophobia- Fear of tyrants.
518,Uranophobia or Ouranophobia- Fear of heaven.
519,Urophobia- Fear of urine or urinating.
520,Vaccinophobia- Fear of vaccination.
521,Venustraphobia- Fear of beautiful women.
522,Verbophobia- Fear of words.
523,Verminophobia- Fear of germs.
524,Vestiphobia- Fear of clothing.
525,Virginitiphobia- Fear of rape.
526,Vitricophobia- Fear of step-father.
527,Walloonphobia- Fear of the Walloons.
528,Wiccaphobia: Fear of witches and witchcraft.
529,Xanthophobia- Fear of the color yellow or the word yellow.
530,Xenoglossophobia- Fear of foreign languages.
531,Xenophobia- Fear of strangers or foreigners.
532,Xerophobia- Fear of dryness.
533,Xylophobia- 1) Fear of wooden objects. 2) Forests.
534,Xyrophobia-Fear of razors.
535,Zelophobia- Fear of jealousy.
536,Zeusophobia- Fear of God or gods.
537,Zemmiphobia- Fear of the great mole rat.
538,Zoophobia- Fear of animals. 
